Class,Table,Student,quarter,nickel,penny
AM,A,1,46,54,36
AM,A,2,56,58,49
AM,A,3,NA,NA,NA
AM,A,4,NA,NA,NA
AM,B,1,NA,NA,NA
AM,B,2,NA,NA,NA
AM,B,3,NA,NA,NA
AM,B,4,NA,NA,NA
AM,C,1,52,48,31
AM,C,2,NA,NA,NA
AM,C,3,NA,NA,NA
AM,C,4,NA,NA,NA
AM,D,1,65,73,61
AM,D,2,95,58,43
AM,D,3,NA,NA,NA
AM,D,4,NA,NA,NA
AM,E,1,97,45,37
AM,E,2,41,40,39
AM,E,3,NA,NA,NA
AM,E,4,NA,NA,NA
AM,F,1,63,59,24
AM,F,2,40,54,48
AM,F,3,NA,NA,NA
AM,F,4,NA,NA,NA
PM,A,1,78,51,38
PM,A,2,48,43,44
PM,A,3,63,54,34
PM,A,4,NA,NA,NA
PM,B,1,60,42,35
PM,B,2,53,42,47
PM,B,3,64,55,60
PM,B,4,NA,NA,NA
PM,C,1,60,51,47
PM,C,2,65,52,25
PM,C,3,NA,NA,NA
PM,C,4,NA,NA,NA
PM,D,1,52,36,18
PM,D,2,47,20,35
PM,D,3,31,38,29
PM,D,4,NA,NA,NA
PM,E,1,61,40,28
PM,E,2,49,37,28
PM,E,3,47,43,34
PM,E,4,NA,NA,NA
PM,F,1,94,56,42
PM,F,2,75,45,33
PM,F,3,47,31,36
PM,F,4,32,25,22