Table,Gummy Bear,1%_NaCl,10%_NaCl,1%_sucrose,10%_sucrose,DI water,
A,T1,195.82,40.93,573.95,480.83,596.65,
A,T2,192.47,37.76,471.55,483.26,496.33,
B,T1,202.00,46.70,525.00,482.50,512.00,
B,T2,192.00,44.20,525.00,484.50,517.00,
C,T1,176.03,42.34,450.20,372.31,344.17,
C,T2,171.78,40.81,369.02,352.09,400.17,
D,T1,96.00,22.00,168.00,173.00,160.00,
D,T2,90.00,25.00,247.00,255.00,184.00,
E,T1,164.02,38.91,353.50,359.00,425.42,
E,T2,176.89,39.75,314.94,392.12,423.85,
F,T1,175.00,36.00,337.00,379.00,444.00,
F,T2,170.00,27.00,426.00,432.00,332.00,
,,,,,,,